,Video name,Label
0,1_1_1_11_30_3_m,11111
1,1_1_1_12_30_5_m,11112
2,1_1_1_13_25_4_m,11113
3,1_1_1_14_30_2_m,11114
4,1_1_1_16_25_3_m,11116
5,1_1_1_4_30_5_m,1114
6,1_1_1_7_30_5_m,1117
7,1_1_1_9_24_5_m,1119
8,1_1_2_12_25_1_m,11212
9,1_1_2_15_25_5_m,11215
10,1_1_2_21_25_4_m,11221
11,1_1_2_3_30_4_m,1123
12,1_1_2_5_25_2_m,1125
13,1_1_2_9_25_4_m,1129
14,1_2_1_10_25_1_m,12110
15,1_2_1_11_25_4_m,12111
16,1_2_1_12_25_4_m,12112
17,1_2_1_13_30_1_m,12113
18,1_2_1_15_25_4_m,12115
19,1_2_1_18_30_2_m,12118
20,1_2_1_4_25_3_m,1214
21,1_2_1_7_30_4_m,1217
22,1_2_1_8_25_5_m,1218
23,1_2_1_9_25_1_m,1219
24,1_2_2_10_24_2_m,12210
25,1_2_2_12_25_5_m,12212
26,1_2_2_13_30_2_m,12213
27,1_2_2_14_25_4_m,12214
28,1_2_2_16_30_4_m,12216
29,1_2_2_17_25_2_m,12217
30,1_2_2_2_25_2_m,1222
31,1_2_2_9_30_5_m,1229
32,2_1_1_11_25_3_m,21111
33,2_1_1_1_30_5_m,2111
34,2_1_1_2_30_2_m,2112
35,2_1_1_3_24_1_m,2113
36,2_1_1_4_24_1_m,2114
37,2_1_1_6_24_5_m,2116
38,2_1_1_7_24_2_m,2117
39,2_1_2_10_30_2_m,21210
40,2_1_2_12_25_2_m,21212
41,2_1_2_13_30_5_m,21213
42,2_1_2_15_25_3_m,21215
43,2_1_2_1_30_2_m,2121
44,2_1_2_8_30_1_m,2128
45,2_2_1_11_25_2_m,22111
46,2_2_1_16_30_4_m,22116
47,2_2_1_2_25_1_m,2212
48,2_2_1_4_30_1_m,2214
49,2_2_1_5_30_4_m,2215
50,2_2_1_7_30_5_m,2217
51,2_2_1_9_30_2_m,2219
52,2_2_2_12_25_4_m,22212
53,2_2_2_14_30_1_m,22214
54,2_2_2_17_30_1_m,22217
55,2_2_2_18_30_5_m,22218
56,2_2_2_1_24_3_m,2221
57,2_2_2_21_30_2_m,22221
58,2_2_2_26_30_5_m,22226
59,2_2_2_2_24_3_m,2222
60,2_2_2_3_24_3_m,2223
61,2_2_2_4_30_5_m,2224
62,2_2_2_5_30_5_m,2225
63,2_2_2_7_30_4_m,2227
64,3_1_1_13_25_5_m,31113
65,3_1_1_20_25_5_m,31120
66,3_1_1_21_30_1_m,31121
67,3_1_1_23_25_1_m,31123
68,3_1_1_24_25_1_m,31124
69,3_1_1_27_25_3_m,31127
70,3_1_1_4_25_3_m,3114
71,3_1_1_6_25_5_m,3116
72,3_1_2_13_25_2_m,31213
73,3_1_2_16_27_1_m,31216
74,3_1_2_18_30_1_m,31218
75,3_1_2_21_30_1_m,31221
76,3_1_2_3_30_4_m,3123
77,3_1_2_8_30_5_m,3128
78,3_2_1_10_25_4_m,32110
79,3_2_1_11_30_5_m,32111
80,3_2_1_13_25_2_m,32113
81,3_2_1_17_25_3_m,32117
82,3_2_1_18_30_5_m,32118
83,3_2_1_19_25_4_m,32119
84,3_2_1_1_24_4_m,3211
